,p1000,p950,p850,p800,p750-lowtol,p700,p650,p600,p550-lowtol,p500,p450,p400,p350,p300,p250-lowtol,p200,p750,p550,p549,p250
elec,0.0005749904832429015,0.000764927901004624,0.0013430775095451982,0.0018338426116856267,,0.0026076051680785587,0.0030181447041027266,0.003470498305491848,,0.004637601558656073,0.005736184391523144,0.00755394642307161,0.011081160924366,0.01910848885019192,,0.07798921395296683,0.0022089174891018176,0.003917591993573107,0.003931120052671859,0.037577114042238124
heat,0.00030216794015332774,0.00038093059151408134,0.0005547493716832442,0.0006648863848685381,,0.000907627291225985,0.0010200625775043913,0.0011509754448207079,,0.0015412869602244895,0.0018445425392439256,0.002310590395565071,0.003006433934103496,0.00486918435384957,,0.025127537614007545,0.000785038760976708,0.0013248671013389541,,0.010883756032934644
tran,0.0008322663639628267,0.0012272755736886904,0.00230107564725871,0.002880274943924768,,0.0039638926787461315,0.004558994719314548,0.005356932097918696,,0.007147137805678635,0.00871752634665104,0.011122799761183723,0.015782046206488973,0.026605362175167003,,0.11414268882924228,0.0033176666682021953,0.0061271005173034855,,0.05621681596051859
